ImageNumber,resource,OrderNumber,Title,VUtemp_ImageTitle,VUtemp_keywords,TitleLargerEntity,LocationCountry,Description,Culture,StylePeriod,DateCreation,CreatorArtist,Technique,Material,MeasurementDimension,LocationCurrentSite,Notes,DateCreated,DateUpdated,StaffNotes,DateDigitized,SourcePage,Fig. No,SourceTitle,SourceAuthor,CopyrightStatement,SourceCallNo,SourceISBN,SourcePubYear,SourcePubCity,SourcePublisher,PubVolume,PubIssue,MDID_Source,LocationCreationSite,MDID_Location,MDID_title,
59160,59160,2010,François Vase,"Detail from upper frieze of neck, side B: Disembarkation and Dance Procession of Athenian Youths and Maidens, including Theseus and Ariadne, on Delos",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 91,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side B: Disembarkation and Dance Procession of Athenian Youths and Maidens, including Theseus and Ariadne, on Delos",
59161,59161,2010,François Vase,"Detail from upper frieze of neck, side A, Calydonian Boar Hunt",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 92,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side A, Calydonian Boar Hunt",
59162,59162,2010,François Vase,"Detail from upper frieze of neck, side A, Calydonian Boar Hunt",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 93,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side A, Calydonian Boar Hunt",
59163,59163,2010,François Vase,"Detail from upper frieze of neck, side A, Calydonian Boar Hunt",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 93,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of neck, side A, Calydonian Boar Hunt",
59164,59164,2010,François Vase,"Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariot of Ippotoonte", ,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 94,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariot of Ippotoonte",
59165,59165,2010,François Vase,"Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariot of Damasippo",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 94,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariot of Damasippo",
59166,59166,2010,François Vase,"Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariots of Diomedes and Automedon",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 95,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariots of Diomedes and Automedon",
59167,59167,2010,François Vase,"Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariot of Odysseus and Achilles",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 95,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from lower frieze of neck, side A, Chariot Races at Funeral of Patroclus, detail: chariot of Odysseus and Achilles",
59168,59168,2010,François Vase,"Detail from lower frieze of neck, side B, Centauromachy of Theseus, detail: Kaineus assaulted by centaurs",,,Greece, ,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 96,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from lower frieze of neck, side B, Centauromachy of Theseus, detail: Kaineus assaulted by centaurs",
59169,59169,2010,François Vase,"Detail from lower frieze of neck, side B, Centauromachy of Theseus, detail: Lapiths battling centaurs",,,Greece, ,Greek,Archaic (Greek)Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 96,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from lower frieze of neck, side B, Centauromachy of Theseus, detail: Lapiths battling centaurs",
59170,59170,2010,François Vase,"Detail from shoulder beneath handle, Wedding of Peleus and Thetis: Hephaestus",,,Greece, ,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 97,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from shoulder beneath handle, Wedding of Peleus and Thetis: Hephaestus",
59171,59171,2010,François Vase,"Detail from upper frieze of shoulder, side B, Procession of the Gods to the Wedding of Peleus and Thetis: Hermes, Maia, and the Moira",,,Greece, ,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 98,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side B, Procession of the Gods to the Wedding of Peleus and Thetis: Hermes, Maia, and the Moira",
59172,59172,2010,François Vase,"Detail from upper frieze of shoulder, side B, Procession of the Gods to the Wedding of Peleus and Thetis: Athena and Latona, Doris and Nereus, Apollo and Artemis",,,Greece, ,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 98,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side B, Procession of the Gods to the Wedding of Peleus and Thetis: Athena and Latona, Doris and Nereus, Apollo and Artemis",
59173,59173,2010,François Vase,"Detail from upper frieze of shoulder beneath handle, side B, Procession of the Gods to the Wedding of Peleus and Thetis: Terpsichore, Erato and Polyhymnia",,,Greece, ,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 99,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder beneath handle, side B, Procession of the Gods to the Wedding of Peleus and Thetis: Terpsichore, Erato and Polyhymnia",
59174,59174,2010,François Vase,"Detail from upper frieze of shoulder, side A, Procession of the Gods to the Wedding of Peleus and Thetis: Melpomene, Clio, Euterpe, Thalia, Hera and Zeus, Urania",,,Greece, ,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 100,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side A, Procession of the Gods to the Wedding of Peleus and Thetis: Melpomene, Clio, Euterpe, Thalia, Hera and Zeus, Urania",
59175,59175,2010,François Vase,"Detail from upper frieze of shoulder, side A, Procession of the Gods to the Wedding of Peleus and Thetis: Hera and Zeus, Urania, Calliope",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 101,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side A, Procession of the Gods to the Wedding of Peleus and Thetis: Hera and Zeus, Urania, Calliope",
59176,59176,2010,François Vase,"Detail from upper frieze of shoulder, side A, Procession of the Gods to the Wedding of Peleus and Thetis: the Horae and Dionysos",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 101,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side A, Procession of the Gods to the Wedding of Peleus and Thetis: the Horae and Dionysos",
59177,59177,2010,François Vase,"Detail from upper frieze of shoulder, side B, Wedding of Peleus and Thetis: Hestia, Cariclo, Iris, Chiron, and Peleus",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 102,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side B, Wedding of Peleus and Thetis: Hestia, Cariclo, Iris, Chiron, and Peleus",
59178,59178,2010,François Vase,"Detail from upper frieze of shoulder, side B, Wedding of Peleus and Thetis: Peleus and the Thetideion",,,Greece,,Greek,Archaic (Greek),ca. 570 BCE,Kleitias (painter; Ergotimos (potter),vase painting,terracotta,h. approx. 660.4 mm; diam. 70 cm,"Museo Archeologico, Florence","Attic black-figure volute krater, found in Etruscan tomb at Chiusi, Italy",40339,40339,,,p. 102,,Le strategie di Kleitias: Composizione e programma figurative del vaso François,"Torelli, Mario",© 2007 Mondadori Electa S.p.A.,NK4645.T668 2007,978-88-370-5423-6,2007,"Milano, Italy",Mondadori Electa S.p.A.,,,"Torelli, Mario; Le strategie di Kleitias: Composizione e programma figurative del vaso François; Mondadori Electa S.p.A.; Milano, Italy; 2007","Athens, Greece","Current: Museo Archeologico, Florence;  Creation: Athens, Greece","François Vase; Detail from upper frieze of shoulder, side B, Wedding of Peleus and Thetis: Peleus and the Thetideion",
